Start T, Start V, Stop V, Step V, Num Readings, ADC Rate, Sleep HV, Sleep DAC, Sleep Readings
1659254706.0255218, 0.0, 5.0, 0.1, 10, 4, 5, 1, 0.05
HV_set (V),HV_rdb (V), HV_err (V),VsCH_1 (V),VsCH_3 (V),VsCH_6 (V),VsCH_7 (V),VsCH_8 (V),VsCH_9 (V),VsCH_10 (V),VsCH_11 (V),VsCH_12 (V),VsCH_14 (V),VsCH_15 (V),VsCH_16 (V),IsCH_1 (A),IsCH_3 (A),IsCH_6 (A),IsCH_7 (A),IsCH_8 (A),IsCH_9 (A),IsCH_10 (A),IsCH_11 (A),IsCH_12 (A),IsCH_14 (A),IsCH_15 (A),IsCH_16 (A),TsCH_1 (s),TsCH_3 (s),TsCH_6 (s),TsCH_7 (s),TsCH_8 (s),TsCH_9 (s),TsCH_10 (s),TsCH_11 (s),TsCH_12 (s),TsCH_14 (s),TsCH_15 (s),TsCH_16 (s)
0.1,-0.452366,0.00002,1.34331e+00,1.34962e+00,1.54761e+00,1.54764e+00,1.54768e+00,1.54760e+00,1.54755e+00,1.54755e+00,1.54765e+00,1.54764e+00,1.54763e+00,1.54768e+00,3.40620e-06,3.30114e-06,4.47035e-10,-1.29143e-10,-7.74860e-10,6.05981e-10,1.45038e-09,1.36097e-09,-1.88748e-10,-1.19209e-10,1.09275e-10,-7.35124e-10,1659254793.9181602,1659254794.3813732,1659254794.8442044,1659254795.3069665,1659254795.7691948,1659254796.2320428,1659254796.6948457,1659254797.157188,1659254797.6198092,1659254798.0825934,1659254798.5451276,1659254799.0076683
0.1,-0.45236,0.00002,1.34340e+00,1.34994e+00,1.54775e+00,1.54762e+00,1.54756e+00,1.54768e+00,1.54763e+00,1.54767e+00,1.54762e+00,1.54761e+00,1.54766e+00,1.54774e+00,3.40494e-06,3.29583e-06,-1.78814e-09,4.07298e-10,1.27157e-09,-6.65585e-10,1.39078e-10,-4.27167e-10,3.87430e-10,5.76178e-10,-3.27826e-10,-1.74840e-09,1659254801.037674,1659254801.5012228,1659254801.964057,1659254802.4268787,1659254802.889506,1659254803.3528361,1659254803.8155384,1659254804.2784393,1659254804.7440157,1659254805.2067413,1659254805.6692011,1659254806.1319802
0.1,-0.452914,0.00002,1.34295e+00,1.34926e+00,1.54715e+00,1.54701e+00,1.54702e+00,1.54714e+00,1.54706e+00,1.54712e+00,1.54704e+00,1.54709e+00,1.54708e+00,1.54717e+00,3.40316e-06,3.29797e-06,-1.03315e-09,1.26163e-09,1.15236e-09,-9.83477e-10,5.16574e-10,-6.35783e-10,6.95388e-10,-1.49012e-10,1.19209e-10,-1.43051e-09,1659254808.1598446,1659254808.6247776,1659254809.0875673,1659254809.5503485,1659254810.0130844,1659254810.475947,1659254810.9386601,1659254811.4058604,1659254811.8692417,1659254812.3320093,1659254812.7947345,1659254813.2621067
0.1,-0.453341,0.00002,1.34275e+00,1.34882e+00,1.54666e+00,1.54677e+00,1.54664e+00,1.54668e+00,1.54662e+00,1.54665e+00,1.54651e+00,1.54668e+00,1.54678e+00,1.54685e+00,3.39935e-06,3.29820e-06,2.98023e-11,-1.76827e-09,2.48353e-10,-2.68221e-10,6.75519e-10,1.98682e-10,2.44379e-09,-3.17891e-10,-2.00669e-09,-3.11931e-09,1659254815.2980933,1659254815.7660697,1659254816.2292407,1659254816.691859,1659254817.1546369,1659254817.6169941,1659254818.0799387,1659254818.542681,1659254819.005229,1659254819.4731266,1659254819.935875,1659254820.3986213
0.1,-0.452752,0.00002,1.34333e+00,1.34931e+00,1.54727e+00,1.54728e+00,1.54730e+00,1.54730e+00,1.54719e+00,1.54714e+00,1.54728e+00,1.54736e+00,1.54729e+00,1.54726e+00,3.39946e-06,3.29980e-06,-3.17891e-10,-4.76837e-10,-7.94729e-10,-9.13938e-10,9.43740e-10,1.73847e-09,-4.56969e-10,-1.82788e-09,-6.35783e-10,-2.48353e-10,1659254822.4206781,1659254822.88335,1659254823.3456123,1659254823.8090215,1659254824.2717788,1659254824.7345068,1659254825.1972759,1659254825.65999,1659254826.122661,1659254826.5850403,1659254827.0479417,1659254827.5106525
0.1,-0.453067,0.00002,1.34303e+00,1.34915e+00,1.54693e+00,1.54693e+00,1.54695e+00,1.54697e+00,1.54689e+00,1.54694e+00,1.54693e+00,1.54694e+00,1.54694e+00,1.54701e+00,3.39916e-06,3.29726e-06,-1.98682e-11,5.96046e-11,-2.48353e-10,-6.55651e-10,6.45717e-10,-8.94070e-11,9.93411e-12,-1.19209e-10,-1.09275e-10,-1.28150e-09,1659254829.5251827,1659254829.9881997,1659254830.4503572,1659254830.9130907,1659254831.3758485,1659254831.8386095,1659254832.3015943,1659254832.763668,1659254833.2279983,1659254833.6907165,1659254834.153915,1659254834.6157362
0.1,-0.453611,0.00002,1.34214e+00,1.34872e+00,1.54642e+00,1.54641e+00,1.54639e+00,1.54640e+00,1.54639e+00,1.54640e+00,1.54636e+00,1.54634e+00,1.54638e+00,1.54637e+00,3.40498e-06,3.29532e-06,-4.47035e-10,-3.77496e-10,-1.98682e-11,-2.48353e-10,5.96046e-11,-2.08616e-10,4.07298e-10,8.24531e-10,6.95388e-11,3.47694e-10,1659254836.6268356,1659254837.0891948,1659254837.5519853,1659254838.0146236,1659254838.4770737,1659254838.939868,1659254839.4028137,1659254839.8653262,1659254840.3281915,1659254840.7909946,1659254841.2534027,1659254841.7169802
0.1,-0.453742,0.00002,1.34226e+00,1.34881e+00,1.54623e+00,1.54631e+00,1.54630e+00,1.54623e+00,1.54614e+00,1.54621e+00,1.54628e+00,1.54632e+00,1.54628e+00,1.54631e+00,3.40081e-06,3.29166e-06,4.96705e-10,-8.34465e-10,-7.45058e-10,5.26508e-10,1.88748e-09,8.64267e-10,-4.37101e-10,-9.63608e-10,-4.47035e-10,-8.04663e-10,1659254843.7329433,1659254844.1956925,1659254844.6587389,1659254845.1223433,1659254845.5861793,1659254846.0494246,1659254846.5129092,1659254846.9800138,1659254847.4429367,1659254847.9053621,1659254848.3687544,1659254848.8313568
0.1,-0.453296,0.00002,1.34276e+00,1.34908e+00,1.54669e+00,1.54670e+00,1.54667e+00,1.54672e+00,1.54679e+00,1.54665e+00,1.54661e+00,1.54675e+00,1.54677e+00,1.54674e+00,3.39991e-06,3.29458e-06,2.58287e-10,1.49012e-10,5.26508e-10,-2.38419e-10,-1.46031e-09,9.63608e-10,1.58946e-09,-7.25190e-10,-1.07288e-09,-5.66244e-10,1659254850.84679,1659254851.3093722,1659254851.7728148,1659254852.2356145,1659254852.6983325,1659254853.1621768,1659254853.6252234,1659254854.0880468,1659254854.5508332,1659254855.0131888,1659254855.475986,1659254855.9386463
0.1,-0.453547,0.00002,1.34248e+00,1.34894e+00,1.54645e+00,1.54643e+00,1.54646e+00,1.54645e+00,1.54639e+00,1.54641e+00,1.54637e+00,1.54655e+00,1.54649e+00,1.54648e+00,3.40041e-06,3.29279e-06,6.95388e-11,4.07298e-10,-9.93411e-11,-2.98023e-11,1.04308e-09,7.35124e-10,1.37091e-09,-1.59939e-09,-6.15915e-10,-4.86771e-10,1659254857.9529402,1659254858.4180841,1659254858.8811026,1659254859.3438199,1659254859.8066578,1659254860.2692277,1659254860.731991,1659254861.1949053,1659254861.6572602,1659254862.1200213,1659254862.5815427,1659254863.044929
