Start T, Start V, Stop V, Step V, Num Readings, ADC Rate, Sleep HV, Sleep DAC, Sleep Readings
1659383337.1867886, 45.0, 60.0, 0.1, 5, 4, 5, 1, 0.05
HV_set (V),HV_rdb (V), HV_err (V),VsCH_1 (V),VsCH_3 (V),VsCH_6 (V),VsCH_7 (V),VsCH_8 (V),VsCH_9 (V),VsCH_10 (V),VsCH_11 (V),VsCH_12 (V),VsCH_14 (V),VsCH_15 (V),VsCH_16 (V),IsCH_1 (A),IsCH_3 (A),IsCH_6 (A),IsCH_7 (A),IsCH_8 (A),IsCH_9 (A),IsCH_10 (A),IsCH_11 (A),IsCH_12 (A),IsCH_14 (A),IsCH_15 (A),IsCH_16 (A),TsCH_1 (s),TsCH_3 (s),TsCH_6 (s),TsCH_7 (s),TsCH_8 (s),TsCH_9 (s),TsCH_10 (s),TsCH_11 (s),TsCH_12 (s),TsCH_14 (s),TsCH_15 (s),TsCH_16 (s)
45.2,44.9059,-0.00080,4.54332e+01,4.54654e+01,4.69057e+01,4.69059e+01,4.69060e+01,4.69059e+01,4.69057e+01,4.69059e+01,4.69058e+01,4.69058e+01,4.69059e+01,4.69060e+01,2.45507e-05,2.40143e-05,4.04318e-09,-4.47035e-10,-1.95702e-09,3.17891e-10,3.70542e-09,-6.95388e-10,1.05302e-09,1.28150e-09,6.55651e-10,-2.33452e-09,1659383433.0242932,1659383433.4868922,1659383433.952074,1659383434.4144986,1659383434.8769114,1659383435.339959,1659383435.8025138,1659383436.2649226,1659383436.7280657,1659383437.190933,1659383437.656942,1659383438.1199253
45.2,44.9061,-0.00080,4.54334e+01,4.54655e+01,4.69062e+01,4.69061e+01,4.69060e+01,4.69060e+01,4.69062e+01,4.69061e+01,4.69060e+01,4.69060e+01,4.69061e+01,4.69062e+01,2.45515e-05,2.40159e-05,-1.97689e-09,-7.05322e-10,1.81794e-09,1.57952e-09,-1.25170e-09,-2.38419e-10,9.04004e-10,2.25504e-09,-5.96046e-10,-2.36432e-09,1659383440.1599057,1659383440.6222875,1659383441.0845318,1659383441.5469935,1659383442.0092826,1659383442.4723516,1659383442.9348564,1659383443.397582,1659383443.8598669,1659383444.3235123,1659383444.7859647,1659383445.2480106
45.2,44.9054,-0.00080,4.54327e+01,4.54648e+01,4.69054e+01,4.69055e+01,4.69053e+01,4.69052e+01,4.69052e+01,4.69055e+01,4.69056e+01,4.69055e+01,4.69053e+01,4.69055e+01,2.45517e-05,2.40155e-05,6.85453e-10,-1.92722e-09,2.42392e-09,3.12924e-09,3.33786e-09,-1.78814e-09,-2.51333e-09,-1.05302e-09,2.34445e-09,-8.74201e-10,1659383447.285519,1659383447.7525668,1659383448.2155907,1659383448.6796787,1659383449.142378,1659383449.8680623,1659383450.3305738,1659383450.7932289,1659383451.2560396,1659383451.7185748,1659383452.181193,1659383452.6441379
45.2,44.9058,-0.00080,4.54331e+01,4.54653e+01,4.69057e+01,4.69057e+01,4.69058e+01,4.69058e+01,4.69059e+01,4.69057e+01,4.69057e+01,4.69057e+01,4.69060e+01,4.69059e+01,2.45515e-05,2.40148e-05,2.13583e-09,1.79807e-09,3.97364e-11,4.07298e-10,-2.18550e-09,1.85768e-09,2.37425e-09,1.89741e-09,-3.12924e-09,-2.32458e-09,1659383454.6798732,1659383455.1447582,1659383455.6123374,1659383456.074821,1659383456.5378523,1659383457.0003822,1659383457.4629633,1659383457.9254444,1659383458.3888063,1659383458.8518984,1659383459.314392,1659383459.7758222
45.2,44.9066,-0.00080,4.54338e+01,4.54662e+01,4.69065e+01,4.69066e+01,4.69067e+01,4.69065e+01,4.69064e+01,4.69066e+01,4.69066e+01,4.69068e+01,4.69067e+01,4.69065e+01,2.45521e-05,2.40134e-05,1.29143e-09,2.88089e-10,-1.73847e-09,2.09610e-09,3.17891e-09,5.46376e-10,1.68880e-10,-3.93391e-09,-1.29143e-09,2.45372e-09,1659383461.816425,1659383462.27895,1659383462.743128,1659383463.2056868,1659383463.6679761,1659383464.1306653,1659383464.5931344,1659383465.0558963,1659383465.518323,1659383465.9803512,1659383466.442922,1659383466.9058728
45.3,45.0061,0.00020,4.55338e+01,4.55659e+01,4.70060e+01,4.70060e+01,4.70062e+01,4.70061e+01,4.70060e+01,4.70060e+01,4.70060e+01,4.70061e+01,4.70062e+01,4.70061e+01,2.45450e-05,2.40101e-05,1.22190e-09,1.16229e-09,-1.07288e-09,1.49012e-10,1.98682e-09,1.59939e-09,1.49012e-09,6.45717e-10,-1.88748e-09,-3.27826e-10,1659383477.0207062,1659383477.4836357,1659383477.9462655,1659383478.4085186,1659383478.8711028,1659383479.3337646,1659383479.7959335,1659383480.2611673,1659383480.724033,1659383481.1865897,1659383481.6490862,1659383482.1122599
45.3,45.0059,0.00020,4.55334e+01,4.55656e+01,4.70059e+01,4.70058e+01,4.70059e+01,4.70060e+01,4.70060e+01,4.70058e+01,4.70058e+01,4.70059e+01,4.70060e+01,4.70059e+01,2.45472e-05,2.40110e-05,5.36442e-10,2.13583e-09,-5.66244e-10,-1.22190e-09,-2.41399e-09,2.44379e-09,1.05302e-09,5.26508e-10,-1.27157e-09,-5.66244e-10,1659383484.139703,1659383484.605237,1659383485.068223,1659383485.5309012,1659383485.993295,1659383486.4566777,1659383486.919922,1659383487.382418,1659383487.8451838,1659383488.3080873,1659383488.770453,1659383489.2318728
45.3,45.007,0.00020,4.55346e+01,4.55669e+01,4.70071e+01,4.70072e+01,4.70071e+01,4.70069e+01,4.70068e+01,4.70069e+01,4.70069e+01,4.70071e+01,4.70072e+01,4.70072e+01,2.45461e-05,2.40076e-05,-1.02321e-09,-3.20872e-09,-1.25170e-09,1.97689e-09,2.90076e-09,1.66893e-09,2.33452e-09,-1.15236e-09,-2.80142e-09,-3.32793e-09,1659383491.247327,1659383491.709968,1659383492.1721425,1659383492.634816,1659383493.0974107,1659383493.5611792,1659383494.0225637,1659383494.485319,1659383494.9522755,1659383495.414757,1659383495.8773184,1659383496.3408408
45.3,45.0067,0.00020,4.55343e+01,4.55663e+01,4.70065e+01,4.70067e+01,4.70067e+01,4.70068e+01,4.70069e+01,4.70066e+01,4.70066e+01,4.70068e+01,4.70069e+01,4.70069e+01,2.45458e-05,2.40126e-05,2.75175e-09,-1.78814e-10,3.17891e-10,-2.13583e-09,-2.80142e-09,2.36432e-09,1.99676e-09,-1.28150e-09,-2.51333e-09,-2.68221e-09,1659383498.3562949,1659383498.8189292,1659383499.2815251,1659383499.7439373,1659383500.2066832,1659383500.6691296,1659383501.1317918,1659383501.5960877,1659383502.0585215,1659383502.520838,1659383502.9837794,1659383503.4476738
45.3,45.0074,0.00020,4.55350e+01,4.55672e+01,4.70076e+01,4.70072e+01,4.70073e+01,4.70073e+01,4.70075e+01,4.70073e+01,4.70073e+01,4.70074e+01,4.70073e+01,4.70075e+01,2.45458e-05,2.40100e-05,-2.80142e-09,3.68555e-09,1.81794e-09,1.08282e-09,-1.89741e-09,8.34465e-10,1.39078e-09,1.09275e-10,1.49012e-09,-1.64906e-09,1659383505.4758759,1659383505.9402242,1659383506.4029887,1659383506.8654954,1659383507.3278835,1659383507.7922423,1659383508.2549064,1659383508.7175775,1659383509.180139,1659383509.6452017,1659383510.1083052,1659383510.5716033
